t	vin	vout
13.74928588	0.98574790	306.81780000
13.78928588	0.96823030	306.81780000
13.82928588	0.96823030	306.81780000
13.86928588	0.96823030	311.25830000
13.90928588	0.96823030	306.81780000
13.94928588	0.98574790	306.81780000
13.98928588	0.96823030	306.81780000
14.02928588	0.98574790	306.81780000
14.06928588	0.96823030	306.81780000
14.10928588	0.96823030	306.81780000
14.14928588	0.96823030	306.81780000
14.18928588	0.96823030	306.81780000
14.22928588	0.96823030	306.81780000
14.26928588	0.96823030	306.81780000
14.30928588	0.96823030	306.81780000
14.34928588	0.96823030	306.81780000
14.38928588	0.96823030	306.81780000
14.42928588	0.96823030	306.81780000
14.46928588	0.96823030	306.81780000
14.50928588	0.98574790	302.37740000
14.54928588	0.96823030	306.81780000
14.58928588	0.98574790	302.37740000
14.62928588	0.98574790	306.81780000
14.66928587	0.98574790	306.81780000
14.70928587	0.96823030	306.81780000
14.74928587	0.96823030	306.81780000
14.78928587	0.96823030	302.37740000
14.82928587	0.96823030	306.81780000
14.86928587	0.96823030	302.37740000
14.90928587	0.98574790	306.81780000
14.94928587	0.98574790	306.81780000
14.98928587	0.98574790	306.81780000
15.02928587	0.98574790	302.37740000
15.06928587	0.96823030	302.37740000
15.10928587	0.96823030	302.37740000
15.14928587	0.98574790	302.37740000
15.18928587	0.98574790	302.37740000
15.22928587	0.96823030	302.37740000
15.26928587	0.98574790	302.37740000
15.30928587	0.98574790	302.37740000
15.34928587	0.96823030	302.37740000
15.38928587	0.96823030	297.93700000
15.42928587	0.96823030	297.93700000
15.46928587	0.96823030	302.37740000
15.50928587	0.96823030	302.37740000
15.54928587	0.96823030	297.93700000
15.58928587	0.98574790	297.93700000
15.62928587	0.96823030	297.93700000
15.66928587	0.96823030	297.93700000
15.70928587	0.96823030	297.93700000
15.74928587	0.96823030	297.93700000
15.78928587	0.98574790	297.93700000
15.82928587	0.96823030	297.93700000
15.86928587	0.98574790	297.93700000
15.90928587	0.98574790	297.93700000
15.94928587	0.98574790	293.49650000
15.98928587	0.96823030	297.93700000
16.02928587	0.96823030	297.93700000
16.06928587	0.96823030	297.93700000
16.10928587	0.96823030	297.93700000
16.14928587	0.96823030	297.93700000
16.18928587	0.96823030	297.93700000
16.22928587	0.98574790	293.49650000
16.26928587	0.96823030	297.93700000
16.30928586	0.96823030	297.93700000
16.34928586	0.98574790	297.93700000
16.38928586	0.96823030	293.49650000
16.42928586	0.96823030	297.93700000
16.46928586	0.96823030	293.49650000
16.50928586	0.98574790	297.93700000
16.54928586	0.98574790	293.49650000
16.58928586	0.96823030	293.49650000
16.62928586	0.96823030	293.49650000
16.66928586	0.96823030	293.49650000
16.70928586	0.96823030	293.49650000
16.74928586	0.98574790	293.49650000
16.78928586	0.96823030	293.49650000
16.82928586	0.98574790	289.07130000
16.86928586	0.96823030	289.07130000
16.90928586	0.96823030	289.07130000
16.94928586	0.98574790	289.07130000
16.98928586	0.96823030	289.07130000
17.02928586	0.96823030	293.49650000
17.06928586	0.96823030	289.07130000
17.10928586	0.96823030	289.07130000
17.14928586	0.98574790	289.07130000
17.18928586	0.98574790	289.07130000
17.22928586	0.98574790	289.07130000
17.26928586	0.98574790	289.07130000
17.30928586	0.98574790	289.07130000
17.34928586	0.96823030	289.07130000
17.38928586	0.96823030	289.07130000
17.42928586	0.96823030	289.07130000
17.46928586	0.96823030	289.07130000
17.50928586	0.98574790	284.63090000
17.54928586	0.98574790	289.07130000
17.58928586	0.98574790	284.63090000
17.62928586	0.96823030	289.07130000
17.66928586	0.98574790	284.63090000
17.70928586	0.98574790	289.07130000
17.74928586	0.98574790	284.63090000
17.78928586	0.98574790	284.63090000
17.82928586	0.98574790	284.63090000
17.86928586	0.98574790	284.63090000
17.90928586	0.98574790	284.63090000
17.94928585	0.98574790	284.63090000
17.98928585	0.98574790	284.63090000
18.02928585	0.96823030	280.19040000
18.06928585	0.96823030	284.63090000
18.10928585	0.98574790	284.63090000
18.14928585	0.98574790	284.63090000
18.18928585	0.96823030	280.19040000
18.22928585	0.96823030	284.63090000
18.26928585	0.96823030	284.63090000
18.30928585	0.96823030	275.75000000
18.34928585	0.96823030	293.49650000
18.38928585	0.96823030	275.75000000
18.42928585	0.96823030	297.93700000
18.46928585	0.96823030	293.49650000
18.50928585	0.98574790	271.32480000
18.54928585	0.96823030	302.37740000
18.58928585	0.98574790	275.75000000
18.62928585	0.96823030	275.75000000
18.66928585	0.96823030	280.19040000
18.70928585	0.96823030	280.19040000
18.74928585	0.98574790	275.75000000
18.78928585	0.98574790	275.75000000
18.82928585	0.96823030	280.19040000
18.86928585	0.96823030	271.32480000
18.90928585	0.98574790	280.19040000
18.94928585	0.98574790	280.19040000
18.98928585	0.98574790	275.75000000
19.02928585	0.96823030	275.75000000
19.06928585	0.98574790	275.75000000
19.10928585	0.98574790	275.75000000
19.14928585	0.98574790	275.75000000
19.18928585	0.98574790	275.75000000
19.22928585	0.98574790	275.75000000
19.26928585	0.98574790	275.75000000
19.30928585	0.96823030	275.75000000
19.34928585	0.96823030	275.75000000
19.38928585	0.96823030	271.32480000
19.42928585	0.96823030	275.75000000
19.46928585	0.96823030	271.32480000
19.50928585	0.98574790	271.32480000
19.54928585	0.96823030	271.32480000
19.58928585	0.96823030	271.32480000
19.62928584	0.98574790	266.88440000
19.66928584	0.96823030	271.32480000
19.70928584	0.98574790	271.32480000
19.74928584	0.98574790	271.32480000
19.78928584	0.96823030	266.88440000
19.82928584	0.98574790	271.32480000
19.86928584	0.96823030	271.32480000
19.90928584	0.96823030	266.88440000
19.94928584	0.98574790	266.88440000
19.98928584	0.96823030	266.88440000
20.02928584	0.98574790	271.32480000
20.06928584	0.96823030	266.88440000
20.10928584	0.96823030	266.88440000
20.14928584	0.98574790	266.88440000
20.18928584	0.96823030	266.88440000
20.22928584	0.98574790	266.88440000
20.26928584	0.98574790	266.88440000
20.30928584	0.98574790	266.88440000
20.34928584	0.98574790	262.44390000
20.38928584	0.98574790	266.88440000
20.42928584	0.98574790	262.44390000
20.46928584	0.98574790	262.44390000
20.50928584	0.98574790	262.44390000
20.54928584	0.96823030	262.44390000
20.58928584	0.98574790	262.44390000
20.62928584	0.98574790	262.44390000
20.66928584	0.98574790	262.44390000
20.70928584	0.96823030	262.44390000
20.74928584	0.98574790	258.00350000
20.78928584	0.98574790	262.44390000
20.82928584	0.96823030	258.00350000
20.86928584	0.98574790	258.00350000
20.90928584	0.96823030	258.00350000
20.94928584	0.98574790	258.00350000
20.98928584	0.98574790	258.00350000
21.02928584	0.96823030	253.57830000
21.06928584	0.98574790	258.00350000
21.10928584	0.98574790	253.57830000
21.14928584	0.98574790	253.57830000
21.18928584	0.98574790	253.57830000
21.22928584	0.96823030	258.00350000
21.26928583	0.98574790	253.57830000
21.30928583	0.98574790	253.57830000
21.34928583	0.98574790	258.00350000
21.38928583	0.98574790	249.13780000
21.42928583	0.96823030	258.00350000
21.46928583	0.96823030	253.57830000
21.50928583	0.98574790	253.57830000
21.54928583	0.98574790	253.57830000
21.58928583	0.96823030	253.57830000
21.62928583	0.96823030	253.57830000
21.66928583	0.96823030	253.57830000
21.70928583	0.96823030	249.13780000
21.74928583	0.98574790	249.13780000
21.78928583	0.98574790	249.13780000
21.82928583	0.96823030	253.57830000
21.86928583	0.96823030	249.13780000
21.90928583	0.96823030	249.13780000
21.94928583	0.98574790	244.69740000
21.98928583	0.98574790	249.13780000
22.02928583	0.98574790	244.69740000
22.06928583	0.98574790	249.13780000
22.10928583	0.96823030	244.69740000
22.14928583	0.98574790	244.69740000
22.18928583	0.98574790	249.13780000
22.22928583	0.98574790	249.13780000
22.26928583	0.98574790	249.13780000
22.30928583	0.98574790	244.69740000
22.34928583	0.98574790	244.69740000
22.38928583	0.98574790	244.69740000
22.42928583	0.98574790	244.69740000
22.46928583	0.96823030	244.69740000
22.50928583	0.96823030	244.69740000
22.54928583	0.98574790	244.69740000
22.58928583	0.96823030	240.25700000
22.62928583	0.96823030	240.25700000
22.66928583	0.98574790	240.25700000
22.70928583	0.98574790	244.69740000
22.74928583	0.98574790	244.69740000
22.78928583	0.98574790	235.81650000
22.82928583	0.96823030	240.25700000
22.86928583	0.96823030	240.25700000
22.90928582	0.98574790	240.25700000
22.94928582	0.98574790	240.25700000
22.98928582	0.98574790	235.81650000
23.02928582	0.98574790	240.25700000
23.06928582	0.98574790	235.81650000
23.10928582	0.98574790	240.25700000
23.14928582	0.98574790	235.81650000
23.18928582	0.96823030	244.69740000
23.22928582	0.98574790	244.69740000
23.26928582	0.98574790	235.81650000
23.30928582	0.98574790	244.69740000
23.34928582	0.98574790	235.81650000
23.38928582	0.98574790	235.81650000
23.42928582	0.98574790	244.69740000
23.46928582	0.98574790	235.81650000
23.50928582	0.98574790	235.81650000
23.54928582	0.98574790	235.81650000
23.58928582	0.98574790	231.39130000
23.62928582	0.98574790	231.39130000
23.66928582	0.98574790	235.81650000
23.70928582	0.98574790	231.39130000
23.74928582	0.98574790	231.39130000
23.78928582	0.96823030	235.81650000
23.82928582	0.96823030	226.95090000
23.86928582	0.96823030	231.39130000
23.90928582	0.98574790	226.95090000
23.94928582	0.96823030	231.39130000
23.98928582	0.98574790	226.95090000
24.02928582	0.96823030	226.95090000
24.06928582	0.98574790	226.95090000
24.10928582	0.98574790	226.95090000
24.14928582	0.98574790	226.95090000
24.18928582	0.96823030	222.51040000
24.22928582	0.98574790	226.95090000
24.26928582	0.98574790	226.95090000
24.30928582	0.98574790	226.95090000
24.34928582	0.98574790	226.95090000
24.38928582	0.98574790	226.95090000
24.42928582	0.98574790	222.51040000
24.46928582	0.98574790	226.95090000
24.50928582	0.96823030	226.95090000
24.54928581	0.98574790	222.51040000
24.58928581	0.98574790	222.51040000
24.62928581	0.98574790	222.51040000
24.66928581	0.98574790	222.51040000
24.70928581	0.98574790	222.51040000
24.74928581	0.96823030	222.51040000
24.78928581	0.98574790	222.51040000
24.82928581	0.98574790	222.51040000
24.86928581	0.96823030	218.07000000
24.90928581	0.98574790	218.07000000
24.94928581	0.98574790	218.07000000
24.98928581	0.96823030	218.07000000
25.02928581	0.98574790	218.07000000
25.06928581	0.96823030	218.07000000
25.10928581	0.96823030	218.07000000
25.14928581	0.96823030	218.07000000
25.18928581	0.96823030	218.07000000
25.22928581	0.98574790	218.07000000
25.26928581	0.98574790	218.07000000
25.30928581	0.98574790	213.64480000
25.34928581	0.96823030	218.07000000
25.38928581	0.98574790	213.64480000
25.42928581	0.98574790	218.07000000
25.46928581	0.98574790	213.64480000
25.50928581	0.98574790	213.64480000
25.54928581	0.98574790	213.64480000
25.58928581	0.98574790	213.64480000
25.62928581	0.98574790	209.20440000
25.66928581	0.98574790	213.64480000
25.70928581	0.98574790	213.64480000
25.74928581	0.96823030	213.64480000
25.78928581	0.98574790	213.64480000
25.82928581	0.98574790	209.20440000
25.86928581	0.96823030	213.64480000
25.90928581	0.96823030	209.20440000
25.94928581	0.98574790	209.20440000
25.98928581	0.98574790	209.20440000
26.02928581	0.98574790	209.20440000
26.06928581	0.98574790	209.20440000
26.10928581	0.98574790	209.20440000
26.14928581	0.96823030	209.20440000
26.18928580	0.96823030	209.20440000
26.22928580	0.98574790	209.20440000
26.26928580	0.98574790	204.76390000
26.30928580	0.98574790	209.20440000
26.34928580	0.98574790	209.20440000
26.38928580	0.96823030	204.76390000
26.42928580	0.96823030	204.76390000
26.46928580	0.98574790	204.76390000
26.50928580	0.98574790	204.76390000
26.54928580	0.96823030	204.76390000
26.58928580	0.98574790	204.76390000
